adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/9tOkjBEiiGcaClgJFtwocStZvIT.jpg,"[16, 12, 10751, 35]",269149,en,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",20.0572,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,2016-02-11,Zootopia,False,7.749,16875
False,/zJjI78peUFRIe2NPHthVhow2f60.jpg,"[28, 12, 14, 18]",256040,te,బాహుబలి:ద బిగినింగ్,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",3.6157,/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,2015-07-10,Bāhubali: The Beginning,False,7.54,854
False,/AtOQdXdibzCiMDIcFA0sBdk1ryf.jpg,"[16, 18, 14]",149871,ja,かぐや姫の物語,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",3.4733,/mWRQNlWXYYfd2z4FRm99MsgHgiA.jpg,2013-11-23,The Tale of The Princess Kaguya,False,8.085,1877
False,/ce6HzPfxRRcLk5QRLcdExeVpsA1.jpg,"[10751, 18]",406997,en,Wonder,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",5.7606,/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg,2017-11-13,Wonder,False,8.114,8053
False,/gcZbciueHH7WmD03GcVZX7LYqmR.jpg,"[18, 10402]",491625,hi,गल्ली बॉय,A coming-of-age story based on the lives of street rappers in Mumbai.,1.6133,/4RE7TD5TqEXbPKyUHcn7CSeMlrJ.jpg,2019-02-14,Gully Boy,False,7.331,189
False,/yQxYnMCIsjd0rXm5hyXZzmE549O.jpg,"[80, 18, 53]",165904,hi,स्पेशल 26,"In the early 1980s India, a group of con artists rob businessmen and politicians by conducting fake raids, posing as officers of the CBI or Income Tax Department . They plan to execute their biggest con as a final job while a relentless cop is on their trail.",1.3785,/cOo6lOiZXO0zldPKsih9asKPWDo.jpg,2013-02-07,Special 26,False,7.269,208
False,/e0K9GPCG0FHfH1vkSt6S6G8wmol.jpg,[18],125507,en,Short Term 12,"A day at a group home for troubled adolescents. Denim is the head counselor, involved somehow with Natalia, another counselor. During the day, we watch them and other staff deal with a boy who's getting into fights though he has only a week to go before his 18th birthday, a girl whose birthday it is, a foul-mouthed lad, and others. Denim uses music to calm one youth, orients a new staff member, sneaks a marijuana cigarette during a break, and by the day's end, talks to Natalia. Do any of us have it together?",0.5051,/5sk2p7KmmT9qkKpGLGgfT0CZBtC.jpg,2008-09-23,Short Term 12,False,6.9,23
False,/5dg3woJqG7kNBCEMZNGPUauHSnK.jpg,"[28, 80, 53]",180299,id,The Raid 2: Berandal,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",3.1356,/olA39iaXISiKEkACdELgr0ZRvIF.jpg,2014-03-27,The Raid 2,False,7.608,2444
False,/gLQoJ9P79g501oEEtrN8zMlCPpx.jpg,"[36, 18, 53, 10752]",205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",10.8939,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014-11-14,The Imitation Game,False,7.993,17484
False,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,"[28, 878, 12]",118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",7.7997,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,2014-07-30,Guardians of the Galaxy,False,7.904,28797
False,/m7ynwXIvSnhxQPR6pOICrC0L2sO.jpg,"[878, 18]",335984,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",15.4524,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017-10-04,Blade Runner 2049,False,7.585,14328
False,/zxttikp0SNEtF4vWsg70Vs6McFi.jpg,"[10749, 878, 18]",152601,en,Her,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",7.7156,/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,2013-12-18,Her,False,7.847,14704
False,/7mmXWuBeNJiBO0NIOUWOuFve4Tb.jpg,"[10402, 18]",424694,en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",6.1081,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,2018-10-24,Bohemian Rhapsody,False,7.969,17255
